Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
4/18/2022,39.900043,-82.553285,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Evening,White Lady,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
7/13/2021,41.7452,-81.641268,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Night,Orbs,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2/22/2021,41.473945,-81.578813,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
12/4/2021,41.413277,-81.305345,Cleveland,Ohio,Scent of old perfume noticed with no source.,Afternoon,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
7/19/2022,41.227929,-81.626509,Cleveland,Ohio,Apparition seen floating near old church grounds.,Dawn,Shadow Figure,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
11/16/2021,41.126775,-81.782411,Cleveland,Ohio,Disembodied voice whispered a name.,Midnight,Orbs,
8/8/2022,39.952678,-82.866227,Columbus,Ohio,Apparition seen floating near old church grounds.,Midnight,Shadow Figure,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
1/29/2021,41.578829,-81.786361,Cleveland,Ohio,Curtains moved though windows were shut.,Midnight,Poltergeist,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
10/11/2020,39.932224,-83.131286,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Night,White Lady,
5/24/2024,41.461916,-81.640972,Cleveland,Ohio,Old radio emitted static and a faint melody.,Morning,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
7/5/2023,40.036082,-83.069424,Columbus,Ohio,Scent of old perfume noticed with no source.,Night,Orbs,
10/6/2024,41.567875,-81.246901,Cleveland,Ohio,Witness captured blurry image on phone.,Afternoon,Full-Body Apparition,
2/7/2024,41.089627,-81.950994,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Morning,Orbs,
9/3/2021,41.449826,-81.706298,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Midnight,Full-Body Apparition,
8/28/2025,41.244134,-81.436455,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Evening,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
1/28/2023,41.644686,-81.99859,Cleveland,Ohio,Local dog barking frantically before sighting.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
6/24/2021,40.020719,-82.912355,Columbus,Ohio,Apparition matched description of local legend.,Evening,Full-Body Apparition,
11/14/2020,39.887494,-83.056631,Columbus,Ohio,Apparition matched description of local legend.,Morning,White Lady,
8/30/2021,40.038323,-83.154876,Columbus,Ohio,Figure disappeared upon approach.,Dawn,Headless Spirit,
1/24/2022,40.103444,-82.84898,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Afternoon,Phantom Sounds,
1/27/2023,39.561845,-83.30592,Columbus,Ohio,Apparition seen floating near old church grounds.,Afternoon,Headless Spirit,
4/19/2022,41.406001,-81.729041,Cleveland,Ohio,Witness captured blurry image on phone.,Morning,Full-Body Apparition,
11/19/2024,39.875612,-82.765167,Columbus,Ohio,Curtains moved though windows were shut.,Midnight,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
6/11/2023,39.682935,-82.862102,Columbus,Ohio,Glowing orb photographed in backyard.,Afternoon,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
8/9/2023,39.948371,-83.250668,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Midnight,Full-Body Apparition,
6/23/2024,39.95251,-83.085718,Columbus,Ohio,Disembodied voice whispered a name.,Evening,Poltergeist,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2/6/2023,40.055181,-83.147529,Columbus,Ohio,Apparition seen floating near old church grounds.,Afternoon,Poltergeist,
9/24/2021,41.58435,-81.804747,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Midnight,Orbs,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
7/7/2023,39.935102,-83.061243,Columbus,Ohio,Old radio emitted static and a faint melody.,Afternoon,White Lady,
12/11/2024,39.858471,-83.215247,Columbus,Ohio,Apparition matched description of local legend.,Night,Poltergeist,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
7/29/2025,39.975431,-82.613734,Columbus,Ohio,Scent of old perfume noticed with no source.,Afternoon,Orbs,
8/29/2023,40.034794,-82.988861,Columbus,Ohio,Witness reported cold spots and flickering lights.,Night,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
11/5/2020,41.530606,-81.897218,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Dawn,Poltergeist,
3/13/2022,41.189012,-82.170626,Cleveland,Ohio,Scent of old perfume noticed with no source.,Dawn,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
12/25/2023,41.766065,-81.859531,Cleveland,Ohio,Curtains moved though windows were shut.,Afternoon,Phantom Sounds,
9/18/2025,40.175282,-83.410576,Columbus,Ohio,Old radio emitted static and a faint melody.,Afternoon,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
9/2/2024,39.856349,-83.04764,Columbus,Ohio,Glowing orb photographed in backyard.,Morning,Headless Spirit,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
11/11/2022,40.368143,-83.203637,Columbus,Ohio,Witness reported cold spots and flickering lights.,Morning,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
5/5/2023,40.048131,-82.983393,Columbus,Ohio,Witness reported cold spots and flickering lights.,Midnight,Orbs,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
8/19/2024,40.156048,-83.074707,Columbus,Ohio,Witness reported cold spots and flickering lights.,Midnight,Headless Spirit,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
5/30/2025,39.922301,-82.558536,Columbus,Ohio,Witness captured blurry image on phone.,Dawn,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
9/20/2025,41.781058,-81.714803,Cleveland,Ohio,Disembodied voice whispered a name.,Afternoon,Poltergeist,
4/1/2024,41.389236,-81.975482,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Morning,Shadow Figure,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
10/15/2021,40.166839,-83.097533,Columbus,Ohio,Curtains moved though windows were shut.,Midnight,White Lady,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
12/26/2023,41.45599,-81.484386,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Evening,Orbs,
5/15/2025,41.290036,-81.546619,Cleveland,Ohio,Scent of old perfume noticed with no source.,Night,Full-Body Apparition,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
1/26/2022,41.408731,-81.567429,Cleveland,Ohio,Scent of old perfume noticed with no source.,Midnight,Orbs,
5/5/2023,41.380522,-81.67215,Cleveland,Ohio,Local dog barking frantically before sighting.,Evening,Poltergeist,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
5/22/2024,39.892311,-83.139846,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Shadow Figure,
3/27/2023,41.631134,-81.573611,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
9/7/2025,41.152931,-82.144078,Cleveland,Ohio,Old radio emitted static and a faint melody.,Afternoon,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
11/27/2024,39.922533,-82.599801,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Evening,Shadow Figure,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
11/20/2020,41.667802,-81.585836,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Morning,Full-Body Apparition,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
7/10/2025,41.687692,-81.672931,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Evening,Headless Spirit,
10/4/2022,40.396655,-82.771719,Columbus,Ohio,Witness reported cold spots and flickering lights.,Dawn,Orbs,
10/27/2024,41.20422,-81.589451,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Evening,Orbs,
10/1/2021,40.182849,-83.127106,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Midnight,Orbs,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
7/30/2022,40.065034,-83.170155,Columbus,Ohio,Apparition seen floating near old church grounds.,Midnight,Orbs,
1/13/2023,40.006105,-83.260149,Columbus,Ohio,Curtains moved though windows were shut.,Morning,Full-Body Apparition,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
1/23/2022,41.468322,-82.070408,Cleveland,Ohio,Witness captured blurry image on phone.,Night,Phantom Sounds,
2/10/2021,41.401876,-81.854535,Cleveland,Ohio,Old radio emitted static and a faint melody.,Evening,Poltergeist,
5/15/2025,39.896123,-82.952176,Columbus,Ohio,Apparition matched description of local legend.,Morning,Orbs,
12/17/2021,40.378568,-82.985862,Columbus,Ohio,Apparition matched description of local legend.,Dawn,Full-Body Apparition,
2/4/2021,41.31495,-81.817792,Cleveland,Ohio,Glowing orb photographed in backyard.,Midnight,Headless Spirit,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2/25/2023,40.299871,-82.764876,Columbus,Ohio,Old radio emitted static and a faint melody.,Morning,White Lady,
11/23/2023,41.468487,-81.84565,Cleveland,Ohio,Apparition matched description of local legend.,Dawn,Orbs,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
5/24/2023,40.207384,-83.005481,Columbus,Ohio,Witness reported cold spots and flickering lights.,Evening,Full-Body Apparition,
3/2/2024,41.355425,-80.94017,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Afternoon,White Lady,
2/2/2024,41.776374,-81.821408,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Evening,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
12/4/2023,40.065818,-83.152552,Columbus,Ohio,Witness reported cold spots and flickering lights.,Morning,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
9/22/2025,41.64691,-82.020406,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Midnight,White Lady,
9/24/2025,40.049136,-83.078998,Columbus,Ohio,Local dog barking frantically before sighting.,Evening,Poltergeist,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
12/28/2020,39.978754,-82.922507,Columbus,Ohio,Disembodied voice whispered a name.,Midnight,Shadow Figure,
7/22/2025,39.875925,-83.036442,Columbus,Ohio,Old radio emitted static and a faint melody.,Midnight,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
6/5/2024,40.037533,-83.056732,Columbus,Ohio,Old radio emitted static and a faint melody.,Dawn,Shadow Figure,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
9/16/2022,41.221299,-81.479509,Cleveland,Ohio,Figure disappeared upon approach.,Dawn,Orbs,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
3/12/2024,40.046747,-83.058716,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Night,Full-Body Apparition,
5/31/2023,39.683305,-83.474548,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Afternoon,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
10/8/2023,42.068169,-81.751931,Cleveland,Ohio,Apparition seen floating near old church grounds.,Dawn,Poltergeist,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
3/29/2021,40.137693,-83.109784,Columbus,Ohio,Local dog barking frantically before sighting.,Dawn,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
5/15/2023,41.868914,-81.522288,Cleveland,Ohio,Glowing orb photographed in backyard.,Morning,White Lady,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
3/27/2025,40.002808,-83.040527,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Morning,Phantom Sounds,
11/3/2020,41.441626,-81.759717,Cleveland,Ohio,Figure disappeared upon approach.,Dawn,Poltergeist,
7/19/2022,41.429132,-81.643003,Cleveland,Ohio,Disembodied voice whispered a name.,Dawn,Headless Spirit,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
3/20/2021,40.115905,-82.918911,Columbus,Ohio,Local dog barking frantically before sighting.,Morning,Full-Body Apparition,
3/3/2025,39.734395,-82.834535,Columbus,Ohio,Apparition matched description of local legend.,Evening,White Lady,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
4/1/2023,41.893182,-82.58288,Cleveland,Ohio,Curtains moved though windows were shut.,Night,Headless Spirit,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
3/3/2024,40.150492,-83.028978,Columbus,Ohio,Glowing orb photographed in backyard.,Evening,Headless Spirit,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_1.png
7/26/2023,41.382452,-81.790798,Cleveland,Ohio,Apparition seen floating near old church grounds.,Afternoon,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
12/23/2024,41.58523,-81.254213,Cleveland,Ohio,Old radio emitted static and a faint melody.,Morning,Phantom Sounds,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
7/16/2024,39.970974,-82.937795,Columbus,Ohio,Apparition seen floating near old church grounds.,Afternoon,Shadow Figure,
12/4/2020,40.023756,-82.986306,Columbus,Ohio,Disembodied voice whispered a name.,Morning,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
8/22/2022,39.922244,-83.143114,Columbus,Ohio,Witness reported cold spots and flickering lights.,Night,Headless Spirit,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
8/15/2023,41.381602,-81.444557,Cleveland,Ohio,Old radio emitted static and a faint melody.,Evening,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
7/19/2021,41.474977,-81.881044,Cleveland,Ohio,Witness captured blurry image on phone.,Morning,Headless Spirit,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
10/17/2024,40.138574,-82.908438,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Evening,Poltergeist,
11/17/2023,41.607117,-82.018116,Cleveland,Ohio,Curtains moved though windows were shut.,Morning,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2/4/2022,41.75363,-81.564941,Cleveland,Ohio,Scent of old perfume noticed with no source.,Evening,Poltergeist,
2/17/2023,39.951231,-83.165702,Columbus,Ohio,Old radio emitted static and a faint melody.,Night,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
8/5/2025,39.797708,-82.698719,Columbus,Ohio,Scent of old perfume noticed with no source.,Night,White Lady,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
11/21/2021,40.024048,-83.041282,Columbus,Ohio,Glowing orb photographed in backyard.,Evening,Poltergeist,
6/24/2025,41.543931,-81.427644,Cleveland,Ohio,Apparition seen floating near old church grounds.,Afternoon,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
5/23/2023,40.252252,-83.17244,Columbus,Ohio,Scent of old perfume noticed with no source.,Evening,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
9/28/2020,39.747225,-82.685767,Columbus,Ohio,Apparition seen floating near old church grounds.,Night,Full-Body Apparition,
9/4/2022,41.916191,-81.573704,Cleveland,Ohio,Witness captured blurry image on phone.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2/17/2022,39.956902,-83.006512,Columbus,Ohio,Local dog barking frantically before sighting.,Dawn,Poltergeist,
12/26/2022,39.909641,-83.097158,Columbus,Ohio,Figure disappeared upon approach.,Evening,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
7/24/2025,41.720992,-81.552937,Cleveland,Ohio,Glowing orb photographed in backyard.,Midnight,Shadow Figure,
11/20/2020,41.909997,-81.267985,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Morning,White Lady,
5/5/2023,41.175302,-81.89469,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Night,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
3/22/2021,41.366505,-81.734879,Cleveland,Ohio,Local dog barking frantically before sighting.,Dawn,Poltergeist,
2/14/2021,41.704624,-81.281231,Cleveland,Ohio,Local dog barking frantically before sighting.,Morning,White Lady,
1/1/2023,39.969305,-82.882676,Columbus,Ohio,Disembodied voice whispered a name.,Midnight,White Lady,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2/1/2025,40.31335,-83.149228,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Morning,White Lady,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
7/21/2022,41.274805,-81.35982,Cleveland,Ohio,Witness captured blurry image on phone.,Night,Shadow Figure,
9/6/2025,41.592958,-81.765324,Cleveland,Ohio,Curtains moved though windows were shut.,Morning,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
5/21/2023,39.807961,-82.852365,Columbus,Ohio,Apparition matched description of local legend.,Morning,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2/14/2021,42.019231,-81.46013,Cleveland,Ohio,Old radio emitted static and a faint melody.,Midnight,White Lady,
3/22/2024,41.425157,-81.878894,Cleveland,Ohio,Figure disappeared upon approach.,Dawn,Full-Body Apparition,
9/8/2024,41.515068,-81.940721,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Midnight,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
8/26/2024,41.871552,-82.050335,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Dawn,Shadow Figure,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
7/7/2024,40.102932,-83.243142,Columbus,Ohio,Old radio emitted static and a faint melody.,Morning,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
11/29/2021,40.197894,-82.876362,Columbus,Ohio,Scent of old perfume noticed with no source.,Night,Orbs,
12/28/2023,39.888891,-82.868813,Columbus,Ohio,Figure disappeared upon approach.,Midnight,White Lady,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
12/23/2022,41.57139,-81.657715,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Evening,Headless Spirit,
10/21/2022,41.226735,-81.757794,Cleveland,Ohio,Witness captured blurry image on phone.,Night,White Lady,
7/27/2021,41.324232,-81.921992,Cleveland,Ohio,Disembodied voice whispered a name.,Evening,Orbs,
3/22/2022,39.933768,-83.043414,Columbus,Ohio,Scent of old perfume noticed with no source.,Evening,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
4/16/2023,41.499593,-81.467897,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Night,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
3/16/2022,41.198388,-82.331521,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Midnight,White Lady,
5/27/2023,41.498221,-81.569157,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Evening,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
9/19/2022,41.469994,-81.625479,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Midnight,Orbs,
11/14/2023,39.912784,-83.10145,Columbus,Ohio,Local dog barking frantically before sighting.,Afternoon,Full-Body Apparition,
10/26/2021,39.77715,-82.98104,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,White Lady,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
5/15/2024,39.762713,-82.973332,Columbus,Ohio,Curtains moved though windows were shut.,Morning,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
12/19/2024,41.297017,-81.596634,Cleveland,Ohio,Apparition matched description of local legend.,Evening,Headless Spirit,
5/20/2021,41.605335,-81.201389,Cleveland,Ohio,Witness captured blurry image on phone.,Night,Headless Spirit,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
9/17/2021,41.739612,-81.716506,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Poltergeist,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2/23/2024,41.400777,-81.46526,Cleveland,Ohio,Apparition matched description of local legend.,Afternoon,White Lady,
6/25/2025,41.601246,-81.549977,Cleveland,Ohio,Figure disappeared upon approach.,Morning,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
6/21/2023,41.442711,-81.638099,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,White Lady,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
4/22/2021,40.103342,-83.202562,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Dawn,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
6/6/2023,40.279919,-82.624829,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
9/13/2025,41.442959,-81.917046,Cleveland,Ohio,Witness captured blurry image on phone.,Morning,White Lady,
8/14/2024,41.586899,-81.872724,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Afternoon,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
12/31/2021,39.951826,-82.959805,Columbus,Ohio,Curtains moved though windows were shut.,Afternoon,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
6/5/2024,39.41792,-82.57102,Columbus,Ohio,Witness reported cold spots and flickering lights.,Night,Headless Spirit,
4/18/2024,39.925994,-83.064515,Columbus,Ohio,Apparition matched description of local legend.,Morning,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
4/18/2021,39.869142,-83.03682,Columbus,Ohio,Witness reported cold spots and flickering lights.,Dawn,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
3/7/2025,41.559396,-81.833747,Cleveland,Ohio,Old radio emitted static and a faint melody.,Dawn,Phantom Sounds,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
11/26/2021,41.618861,-81.668355,Cleveland,Ohio,Local dog barking frantically before sighting.,Morning,Poltergeist,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
9/1/2025,41.293146,-81.6154,Cleveland,Ohio,Witness captured blurry image on phone.,Morning,White Lady,
5/22/2021,39.83232,-83.098296,Columbus,Ohio,Apparition seen floating near old church grounds.,Afternoon,Full-Body Apparition,
7/11/2023,39.472595,-83.155576,Columbus,Ohio,Witness reported cold spots and flickering lights.,Afternoon,White Lady,
8/7/2024,41.812429,-81.744605,Cleveland,Ohio,Apparition matched description of local legend.,Afternoon,Orbs,
10/4/2020,39.863553,-82.488393,Columbus,Ohio,Figure disappeared upon approach.,Dawn,Shadow Figure,
10/10/2021,39.577875,-82.82151,Columbus,Ohio,Disembodied voice whispered a name.,Afternoon,Headless Spirit,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
12/12/2023,41.564957,-81.735716,Cleveland,Ohio,Apparition seen floating near old church grounds.,Afternoon,White Lady,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
8/30/2021,41.435668,-81.752504,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Morning,Phantom Sounds,
2/2/2025,41.510288,-81.890134,Cleveland,Ohio,Curtains moved though windows were shut.,Afternoon,Orbs,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
5/7/2021,41.51979,-81.84002,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Night,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
11/27/2022,41.317951,-81.686601,Cleveland,Ohio,Curtains moved though windows were shut.,Dawn,Headless Spirit,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
9/5/2021,41.418707,-81.70215,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Midnight,Orbs,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
11/13/2021,41.580071,-81.577435,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Night,Headless Spirit,
9/28/2024,41.363026,-81.240951,Cleveland,Ohio,Old radio emitted static and a faint melody.,Evening,Shadow Figure,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
8/6/2021,41.508315,-81.324182,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Dawn,Poltergeist,
1/28/2025,40.132961,-83.166487,Columbus,Ohio,Witness reported cold spots and flickering lights.,Dawn,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
